fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220924 150900	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	333444	0.104539551267633	0.627141712727025	2831	689	0.0526815271296073	26257333.3333333	1
20220924 151451	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	333444	0.0993943492562976	0.539299286622554	4539	754	0.0600909117005358	26437333.3333333	2
20220924 152152	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	195	TRUE	333444	0.0859828571719117	0.72263149144128	2161	663	0.0241325006210536	26858000	3
20220924 153203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	333444	0.0430604695116635	0.395569057716057	1491	817	0.0779284788330551	25632666.6666667	4
20220924 153654	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	333444	0.0648051933972165	0.769370808349922	3595	392	0.0458822218772548	27081333.3333333	5
20220924 154206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	333444	0.141377188054379	0.266284413235262	4027	558	0.0476148071244825	26916000	6
20220924 154756	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	333444	0.13052357935952	0.508124597547576	5653	974	0.0702953120751772	25360000	7
20220924 155711	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	294	TRUE	333444	0.0523151353034191	0.592533969832584	1884	189	0.027893665733136	27492000	8
20220924 161252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	279	TRUE	333444	0.0337415122722741	0.358461305778474	3706	296	0.0808966245072952	25199333.3333333	9
20220924 161915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	207	TRUE	333444	0.0515167757431045	0.708374606948346	7331	355	0.0847306739685882	24478666.6666667	10
20220924 162514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	333444	0.114429273746908	0.470374104557559	870	608	0.0677399775474623	25110666.6666667	11
20220924 162820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	333444	0.120278667341918	0.983963592201471	5376	87	0.0639390882971929	25922000	12
20220924 163536	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	333444	0.093529639728833	0.433088914602995	6255	153	0.0428019542834954	26594666.6666667	13
20220924 165306	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	878	TRUE	333444	0.017183082585223	0.866969552030787	6440	949	0.0906143846387567	24087333.3333333	14
20220925 164717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	333444	0.119382148809731	0.573994674580172	3902	301	0.0580081509749289	26144000	15
20220925 164800	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2	TRUE	111222	0.0891046210769564	0.75914349231869	6393	740	0.014135972760705	17458000	16
20220925 165645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	333444	0.0629734517408069	0.390928413858637	5379	439	0.0500405112985754	26772000	17
20220925 170756	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	399	TRUE	333444	0.0283229302428663	0.911876682983711	3458	692	0.079449374142132	25393333.3333333	18
20220925 171653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	333444	0.0750598763548769	0.5287076630909	7136	664	0.0705714189413993	25800000	19
20220925 174254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	413	TRUE	333444	0.0190305065596476	0.485826379060745	2810	544	0.0670095845244941	26171333.3333333	20
20220925 175913	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	333444	0.0551437809388153	0.639408447733149	1284	639	0.0826579257354024	25023333.3333333	21
20220925 180757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	333444	0.0841639937539585	0.370091351391748	4650	391	0.0824737217948132	24552000	22
20220925 181546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	526	TRUE	333444	0.0431087608160451	0.755561087364331	7913	897	0.0423633483255981	27144666.6666667	23
20220925 183112	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	285	TRUE	333444	0.0319320211238228	0.416727867657319	3819	546	0.0946471660818497	23912666.6666667	24
20220925 183534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	169	TRUE	333444	0.13030043734354	0.859965487532318	5749	337	0.0318395857761789	26567333.3333333	25
20220925 184155	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	333444	0.097442954135593	0.217027302961797	4895	759	0.0555152336835454	26588000	26
